Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Type
,,,,,,12.9635,77.5821,,,,,,,,,,,,,Person
,,,,,,12.9635,77.5821,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,13.0487,77.5923,,,,,,,,,,,,,Person
,,,,,,13.0019,77.5713,,,,,,,,,,,,,Person
,,,,,,13.0019,77.5713,,,,,,,,,,,,,Person
,,,,,,13.0019,77.5713,,,,,,,,,,,,,Person
,,,,,,13.0019,77.5713,,,,,,,,,,,,,Person
,,,,,,12.9537,77.6176,,,,,,,,,,,,,Person
,,,,,,12.9698,77.75,,,,,,,,,,,,,Person
,,,,,,12.998,77.6227,,,,,,,,,,,,,Person
,,,,,,12.998,77.6227,,,,,,,,,,,,,Person
,,,,,,12.998,77.6227,,,,,,,,,,,,,Person
,,,,,,12.9343,77.6044,,,,,,,,,,,,,Person
,,,,,,13.102,77.5864,,,,,,,,,,,,,Person
,,,,,,13.0158,77.539,,,,,,,,,,,,,Person
,,,,,,12.998,77.6227,,,,,,,,,,,,,Person
,,,,,,12.998,77.6227,,,,,,,,,,,,,Person
,,,,,,13.0138,77.5877,,,,,,,,,,,,,Person
,,,,,,13.0138,77.5877,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,13.0496,77.4941,,,,,,,,,,,,,Person
,,,,,,12.9783,77.6408,,,,,,,,,,,,,Person
,,,,,,12.9889,77.5741,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,13.0487,77.5923,,,,,,,,,,,,,Person
,,,,,,12.9579,77.6309,,,,,,,,,,,,,Person
,,,,,,12.9579,77.6309,,,,,,,,,,,,,Person
,,,,,,12.9579,77.6309,,,,,,,,,,,,,Person
,,,,,,13.0487,77.5923,,,,,,,,,,,,,Person
,,,,,,12.985,77.5533,,,,,,,,,,,,,Person
,,,,,,12.985,77.5533,,,,,,,,,,,,,Person
,,,,,,12.985,77.5533,,,,,,,,,,,,,Person
,,,,,,12.9337,77.59,,,,,,,,,,,,,Person
,,,,,,12.9337,77.59,,,,,,,,,,,,,Person
,,,,,,12.9337,77.59,,,,,,,,,,,,,Person
,,,,,,13.0166,77.6804,,,,,,,,,,,,,Person
,,,,,,13.014,77.5658,,,,,,,,,,,,,Person
,,,,,,13.014,77.5658,,,,,,,,,,,,,Person
,,,,,,13.0503,77.5529,,,,,,,,,,,,,Person
,,,,,,13.0503,77.5529,,,,,,,,,,,,,Person
,,,,,,12.9883,77.5987,,,,,,,,,,,,,Person
,,,,,,13.0626,77.5284,,,,,,,,,,,,,Person
,,,,,,13.0626,77.5284,,,,,,,,,,,,,Person
,,,,,,13.0626,77.5284,,,,,,,,,,,,,Person
,,,,,,13.0166,77.6804,,,,,,,,,,,,,Person
,,,,,,13.0166,77.6804,,,,,,,,,,,,,Person
,,,,,,12.9551,77.6593,,,,,,,,,,,,,Person
,,,,,,12.9551,77.6593,,,,,,,,,,,,,Person
,,,,,,12.9551,77.6593,,,,,,,,,,,,,Person
,,,,,,12.957,77.5637,,,,,,,,,,,,,Person
,,,,,,12.957,77.5637,,,,,,,,,,,,,Person
,,,,,,12.957,77.5637,,,,,,,,,,,,,Person
,,,,,,12.957,77.5637,,,,,,,,,,,,,Person
,,,,,,12.957,77.5637,,,,,,,,,,,,,Person
,,,,,,12.8652,77.524,,,,,,,,,,,,,Person
,,,,,,12.9698,77.75,,,,,,,,,,,,,Person
,,,,,,12.9889,77.5741,,,,,,,,,,,,,Person
,,,,,,12.9889,77.5741,,,,,,,,,,,,,Person
,,,,,,12.9925,77.5633,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.9757,77.5586,,,,,,,,,,,,,Person
,,,,,,12.9757,77.5586,,,,,,,,,,,,,Person
,,,,,,13.0487,77.5923,,,,,,,,,,,,,Person
,,,,,,13.0487,77.5923,,,,,,,,,,,,,Person
,,,,,,12.9662,77.6068,,,,,,,,,,,,,Person
,,,,,,12.9662,77.6068,,,,,,,,,,,,,Person
,,,,,,12.9343,77.6044,,,,,,,,,,,,,Person
,,,,,,12.9343,77.6044,,,,,,,,,,,,,Person
,,,,,,12.9343,77.6044,,,,,,,,,,,,,Person
,,,,,,12.9442,77.6076,,,,,,,,,,,,,Person
,,,,,,12.9442,77.6076,,,,,,,,,,,,,Person
,,,,,,12.9442,77.6076,,,,,,,,,,,,,Person
,,,,,,13.0298,77.6047,,,,,,,,,,,,,Person
,,,,,,12.9261,77.6221,,,,,,,,,,,,,Person
,,,,,,12.9621,77.5376,,,,,,,,,,,,,Person
,,,,,,12.8845,77.6036,,,,,,,,,,,,,Person
,,,,,,12.9048,77.6821,,,,,,,,,,,,,Person
,,,,,,12.9048,77.6821,,,,,,,,,,,,,Person
,,,,,,12.9261,77.6221,,,,,,,,,,,,,Person
,,,,,,12.9261,77.6221,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.9783,77.6408,,,,,,,,,,,,,Person
,,,,,,12.9783,77.6408,,,,,,,,,,,,,Person
,,,,,,12.9217,77.5936,,,,,,,,,,,,,Person
,,,,,,13.0206,77.6479,,,,,,,,,,,,,Person
,,,,,,13.0012,77.5995,,,,,,,,,,,,,Person
,,,,,,13.0223,77.7132,,,,,,,,,,,,,Person
,,,,,,12.9337,77.59,,,,,,,,,,,,,Person
,,,,,,12.982,77.6256,,,,,,,,,,,,,Person
,,,,,,13.0262,77.62,,,,,,,,,,,,,Person
,,,,,,12.9217,77.5936,,,,,,,,,,,,,Person
,,,,,,13.0078,77.5577,,,,,,,,,,,,,Person
,,,,,,13.0078,77.5577,,,,,,,,,,,,,Person
,,,,,,12.9217,77.5936,,,,,,,,,,,,,Person
,,,,,,12.9105,77.4842,,,,,,,,,,,,,Person
,,,,,,12.9105,77.4842,,,,,,,,,,,,,Person
,,,,,,12.9037,77.5376,,,,,,,,,,,,,Person
,,,,,,12.8834,77.5486,,,,,,,,,,,,,Person
,,,,,,12.9149,77.5635,,,,,,,,,,,,,Person
,,,,,,12.9149,77.5635,,,,,,,,,,,,,Person
,,,,,,12.9706,77.6529,,,,,,,,,,,,,Person
,,,,,,12.9706,77.6529,,,,,,,,,,,,,Person
,,,,,,12.9706,77.6529,,,,,,,,,,,,,Person
,,,,,,12.8845,77.6036,,,,,,,,,,,,,Person
,,,,,,12.9783,77.6408,,,,,,,,,,,,,Person
,,,,,,13.0103,77.5796,,,,,,,,,,,,,Person
,,,,,,13.0103,77.5796,,,,,,,,,,,,,Person
,,,,,,12.9306,77.5434,,,,,,,,,,,,,Person
,,,,,,13.0641,77.5931,,,,,,,,,,,,,Person
,,,,,,13.0158,77.539,,,,,,,,,,,,,Person
,,,,,,12.9561,77.5921,,,,,,,,,,,,,Person
,,,,,,12.8845,77.6036,,,,,,,,,,,,,Person
,,,,,,12.9369,77.6407,,,,,,,,,,,,,Person
,,,,,,12.9369,77.6407,,,,,,,,,,,,,Person
,,,,,,12.9369,77.6407,,,,,,,,,,,,,Person
,,,,,,12.9369,77.6407,,,,,,,,,,,,,Person
,,,,,,13.0158,77.539,,,,,,,,,,,,,Person
,,,,,,13.0809,77.5565,,,,,,,,,,,,,Person
,,,,,,13.0641,77.5931,,,,,,,,,,,,,Person
,,,,,,12.9859,77.6713,,,,,,,,,,,,,Person
,,,,,,12.9859,77.6713,,,,,,,,,,,,,Person
,,,,,,12.9866,77.4904,,,,,,,,,,,,,Person
,,,,,,12.9847,77.5491,,,,,,,,,,,,,Person
,,,,,,12.9847,77.5491,,,,,,,,,,,,,Person
,,,,,,12.9847,77.5491,,,,,,,,,,,,,Person
,,,,,,12.9299,77.6848,,,,,,,,,,,,,Person
,,,,,,12.9299,77.6848,,,,,,,,,,,,,Person
,,,,,,12.9828,77.6131,,,,,,,,,,,,,Person
,,,,,,12.989,77.5332,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.9251,77.4992,,,,,,,,,,,,,Person
,,,,,,12.9967,77.7582,,,,,,,,,,,,,Person
,,,,,,12.9967,77.7582,,,,,,,,,,,,,Person
,,,,,,12.9967,77.7582,,,,,,,,,,,,,Person
,,,,,,12.957,77.5637,,,,,,,,,,,,,Person
,,,,,,12.957,77.5637,,,,,,,,,,,,,Person
,,,,,,12.9889,77.5741,,,,,,,,,,,,,Person
,,,,,,13.0206,77.6479,,,,,,,,,,,,,Person
,,,,,,12.8893,77.6399,,,,,,,,,,,,,Person
,,,,,,12.8893,77.6399,,,,,,,,,,,,,Person
,,,,,,12.9967,77.7582,,,,,,,,,,,,,Person
,,,,,,12.9783,77.6408,,,,,,,,,,,,,Person
,,,,,,12.9783,77.6408,,,,,,,,,,,,,Person
,,,,,,12.9925,77.5633,,,,,,,,,,,,,Person
,,,,,,12.9925,77.5633,,,,,,,,,,,,,Person
,,,,,,12.9561,77.5921,,,,,,,,,,,,,Person
,,,,,,12.9561,77.5921,,,,,,,,,,,,,Person
,,,,,,13.0734,77.5464,,,,,,,,,,,,,Person
,,,,,,13.0487,77.5923,,,,,,,,,,,,,Person
,,,,,,12.9515,77.4921,,,,,,,,,,,,,Person
,,,,,,12.9515,77.4921,,,,,,,,,,,,,Person
,,,,,,12.9719,77.5128,,,,,,,,,,,,,Person
,,,,,,12.9048,77.6821,,,,,,,,,,,,,Person
,,,,,,12.9048,77.6821,,,,,,,,,,,,,Person
,,,,,,13.0103,77.5796,,,,,,,,,,,,,Person
,,,,,,13.0103,77.5796,,,,,,,,,,,,,Person
,,,,,,12.8893,77.6399,,,,,,,,,,,,,Person
,,,,,,12.9828,77.6131,,,,,,,,,,,,,Person
,,,,,,12.9757,77.5586,,,,,,,,,,,,,Person
,,,,,,12.9757,77.5586,,,,,,,,,,,,,Person
,,,,,,12.9757,77.5586,,,,,,,,,,,,,Person
,,,,,,13.0734,77.5464,,,,,,,,,,,,,Person
,,,,,,13.0734,77.5464,,,,,,,,,,,,,Person
,,,,,,13.0734,77.5464,,,,,,,,,,,,,Person
,,,,,,13.0626,77.5284,,,,,,,,,,,,,Person
,,,,,,13.0626,77.5284,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.998,77.6227,,,,,,,,,,,,,Person
,,,,,,13.0626,77.5284,,,,,,,,,,,,,Person
,,,,,,13.0626,77.5284,,,,,,,,,,,,,Person
,,,,,,13.0138,77.5877,,,,,,,,,,,,,Person
,,,,,,13.0138,77.5877,,,,,,,,,,,,,Person
,,,,,,13.014,77.5658,,,,,,,,,,,,,Person
,,,,,,12.9551,77.6593,,,,,,,,,,,,,Person
,,,,,,12.9473,77.5616,,,,,,,,,,,,,Person
,,,,,,12.985,77.5533,,,,,,,,,,,,,Person
,,,,,,12.9299,77.6848,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.9828,77.6131,,,,,,,,,,,,,Person
,,,,,,12.9766,77.5993,,,,,,,,,,,,,Person
,,,,,,12.9854,77.7081,,,,,,,,,,,,,Person
,,,,,,12.985,77.5533,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.9037,77.5376,,,,,,,,,,,,,Person
,,,,,,12.8834,77.5486,,,,,,,,,,,,,Person
,,,,,,12.9149,77.5635,,,,,,,,,,,,,Person
,,,,,,12.9149,77.5635,,,,,,,,,,,,,Person
,,,,,,12.9706,77.6529,,,,,,,,,,,,,Person
,,,,,,12.9706,77.6529,,,,,,,,,,,,,Person
,,,,,,12.9706,77.6529,,,,,,,,,,,,,Person
,,,,,,12.8845,77.6036,,,,,,,,,,,,,Person
,,,,,,12.9783,77.6408,,,,,,,,,,,,,Person
,,,,,,13.0103,77.5796,,,,,,,,,,,,,Person
,,,,,,13.0103,77.5796,,,,,,,,,,,,,Person
,,,,,,12.9306,77.5434,,,,,,,,,,,,,Person
,,,,,,13.0641,77.5931,,,,,,,,,,,,,Person
,,,,,,13.0158,77.539,,,,,,,,,,,,,Person
,,,,,,12.9561,77.5921,,,,,,,,,,,,,Person
,,,,,,12.8845,77.6036,,,,,,,,,,,,,Person
,,,,,,12.9369,77.6407,,,,,,,,,,,,,Person
,,,,,,12.9369,77.6407,,,,,,,,,,,,,Person
,,,,,,12.9369,77.6407,,,,,,,,,,,,,Person
,,,,,,12.8845,77.6036,,,,,,,,,,,,,Person
,,,,,,12.9048,77.6821,,,,,,,,,,,,,Person
,,,,,,12.9048,77.6821,,,,,,,,,,,,,Person
,,,,,,12.9261,77.6221,,,,,,,,,,,,,Person
,,,,,,12.9261,77.6221,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.9783,77.6408,,,,,,,,,,,,,Person
,,,,,,12.9783,77.6408,,,,,,,,,,,,,Person
,,,,,,12.9217,77.5936,,,,,,,,,,,,,Person
,,,,,,13.0206,77.6479,,,,,,,,,,,,,Person
,,,,,,13.0012,77.5995,,,,,,,,,,,,,Person
,,,,,,13.0223,77.7132,,,,,,,,,,,,,Person
,,,,,,12.9337,77.59,,,,,,,,,,,,,Person
,,,,,,12.982,77.6256,,,,,,,,,,,,,Person
,,,,,,13.0262,77.62,,,,,,,,,,,,,Person
,,,,,,12.9217,77.5936,,,,,,,,,,,,,Person
,,,,,,12.8845,77.6036,,,,,,,,,,,,,Person
,,,,,,12.9048,77.6821,,,,,,,,,,,,,Person
,,,,,,12.9048,77.6821,,,,,,,,,,,,,Person
,,,,,,12.9261,77.6221,,,,,,,,,,,,,Person
,,,,,,12.9261,77.6221,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.9783,77.6408,,,,,,,,,,,,,Person
,,,,,,12.9783,77.6408,,,,,,,,,,,,,Person
,,,,,,12.9217,77.5936,,,,,,,,,,,,,Person
,,,,,,13.0206,77.6479,,,,,,,,,,,,,Person
,,,,,,13.0012,77.5995,,,,,,,,,,,,,Person
,,,,,,12.9706,77.6529,,,,,,,,,,,,,Person
,,,,,,12.9706,77.6529,,,,,,,,,,,,,Person
,,,,,,12.9706,77.6529,,,,,,,,,,,,,Person
,,,,,,12.8845,77.6036,,,,,,,,,,,,,Person
,,,,,,12.9783,77.6408,,,,,,,,,,,,,Person
,,,,,,13.0103,77.5796,,,,,,,,,,,,,Person
,,,,,,13.0103,77.5796,,,,,,,,,,,,,Person
,,,,,,12.9306,77.5434,,,,,,,,,,,,,Person
,,,,,,13.0641,77.5931,,,,,,,,,,,,,Person
,,,,,,13.0158,77.539,,,,,,,,,,,,,Person
,,,,,,12.9561,77.5921,,,,,,,,,,,,,Person
,,,,,,12.8845,77.6036,,,,,,,,,,,,,Person
,,,,,,12.9369,77.6407,,,,,,,,,,,,,Person
,,,,,,12.9369,77.6407,,,,,,,,,,,,,Person
,,,,,,12.9369,77.6407,,,,,,,,,,,,,Person
,,,,,,12.9369,77.6407,,,,,,,,,,,,,Person
,,,,,,13.0158,77.539,,,,,,,,,,,,,Person
,,,,,,13.0809,77.5565,,,,,,,,,,,,,Person
,,,,,,13.0641,77.5931,,,,,,,,,,,,,Person
,,,,,,12.9859,77.6713,,,,,,,,,,,,,Person
,,,,,,12.9859,77.6713,,,,,,,,,,,,,Person
,,,,,,12.9866,77.4904,,,,,,,,,,,,,Person
,,,,,,12.9847,77.5491,,,,,,,,,,,,,Person
,,,,,,12.985,77.5533,,,,,,,,,,,,,Person
,,,,,,12.9299,77.6848,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.9828,77.6131,,,,,,,,,,,,,Person
,,,,,,12.9766,77.5993,,,,,,,,,,,,,Person
,,,,,,12.9854,77.7081,,,,,,,,,,,,,Person
,,,,,,12.985,77.5533,,,,,,,,,,,,,Person
,,,,,,12.977,77.5773,,,,,,,,,,,,,Person
,,,,,,12.8988,77.5764,,,,,,,,,,,,,Person
